timestamp,pv_gen_wh,user_load_wh,price_eur_kwh,price_eur_kwh_t+1,price_eur_kwh_t+2,price_eur_kwh_t+3,price_eur_kwh_t+4,price_eur_kwh_t+5,price_eur_kwh_t+6,price_eur_kwh_t+7,price_eur_kwh_t+8,price_eur_kwh_t+9,price_eur_kwh_t+10,price_eur_kwh_t+11,price_eur_kwh_t+12,price_eur_kwh_t+13,price_eur_kwh_t+14,price_eur_kwh_t+15,price_eur_kwh_t+16,price_eur_kwh_t+17,price_eur_kwh_t+18,price_eur_kwh_t+19,price_eur_kwh_t+20,price_eur_kwh_t+21,price_eur_kwh_t+22,price_eur_kwh_t+23,price_eur_kwh_t+24,temperature_2m,cloud_cover,shortwave_radiation,relative_humidity_2m,wind_speed_10m,shortwave_radiation_t+1,shortwave_radiation_t+2,shortwave_radiation_t+3,shortwave_radiation_t+4,shortwave_radiation_t+5,shortwave_radiation_t+6,hour_of_day,day_of_week,day_of_year,day_of_month,lat,lon,country,state,baseline_reward
2026-04-15 02:00:00,0.0,100.0,0.1101,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,5.2,13.0,0.0,85.0,7.5,0.0,0.0,0.0,0.0,2.0,78.0,2,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,-0.01101
2026-04-15 03:00:00,0.0,0.0,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,4.4,15.0,0.0,87.0,8.0,0.0,0.0,0.0,2.0,78.0,223.0,3,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,0.0
2026-04-15 04:00:00,0.0,100.0,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,3.6,25.0,0.0,86.0,9.4,0.0,0.0,2.0,78.0,223.0,373.0,4,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,-0.013786000000000001
2026-04-15 05:00:00,0.0,100.0,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,4.1,52.0,0.0,86.0,9.8,0.0,2.0,78.0,223.0,373.0,505.0,5,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,-0.016692000000000002
2026-04-15 06:00:00,0.0,100.0,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,4.1,12.0,0.0,86.0,9.6,2.0,78.0,223.0,373.0,505.0,612.0,6,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,-0.016450000000000003
2026-04-15 07:00:00,0.0,100.0,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,2.9,1.0,2.0,86.0,10.3,78.0,223.0,373.0,505.0,612.0,690.0,7,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,-0.013000000000000001
2026-04-15 08:00:00,100.0,100.0,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,5.9,34.0,78.0,79.0,12.2,223.0,373.0,505.0,612.0,690.0,678.0,8,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,0.0126
2026-04-15 09:00:00,200.0,0.0,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,9.4,80.0,223.0,69.0,12.2,373.0,505.0,612.0,690.0,678.0,593.0,9,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,0.019866
2026-04-15 10:00:00,800.0,100.0,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,12.5,97.0,373.0,60.0,12.3,505.0,612.0,690.0,678.0,593.0,598.0,10,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,0.055696
2026-04-15 11:00:00,1100.0,0.0,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,14.9,96.0,505.0,52.0,12.9,612.0,690.0,678.0,593.0,598.0,445.0,11,2,105,15,50.916672,6.81667,Germany,Nordrhein-Westfalen,0.055055
