timestamp,pv_gen_wh,user_load_wh,price_eur_kwh,price_eur_kwh_t+1,price_eur_kwh_t+2,price_eur_kwh_t+3,price_eur_kwh_t+4,price_eur_kwh_t+5,price_eur_kwh_t+6,price_eur_kwh_t+7,price_eur_kwh_t+8,price_eur_kwh_t+9,price_eur_kwh_t+10,price_eur_kwh_t+11,price_eur_kwh_t+12,price_eur_kwh_t+13,price_eur_kwh_t+14,price_eur_kwh_t+15,price_eur_kwh_t+16,price_eur_kwh_t+17,price_eur_kwh_t+18,price_eur_kwh_t+19,price_eur_kwh_t+20,price_eur_kwh_t+21,price_eur_kwh_t+22,price_eur_kwh_t+23,price_eur_kwh_t+24,temperature_2m,cloud_cover,shortwave_radiation,relative_humidity_2m,wind_speed_10m,shortwave_radiation_t+1,shortwave_radiation_t+2,shortwave_radiation_t+3,shortwave_radiation_t+4,shortwave_radiation_t+5,shortwave_radiation_t+6,hour_of_day,day_of_week,day_of_year,day_of_month,lat,lon,country,state,baseline_reward
2026-04-15 02:00:00,0.0,0.0,0.1101,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,2.6,11.0,0.0,88.0,8.6,0.0,0.0,0.0,0.0,5.0,93.0,2,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 03:00:00,0.0,0.0,0.11468,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,3.4,3.0,0.0,83.0,9.7,0.0,0.0,0.0,5.0,93.0,247.0,3,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 04:00:00,0.0,0.0,0.13786,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,2.5,3.0,0.0,81.0,10.7,0.0,0.0,5.0,93.0,247.0,398.0,4,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 05:00:00,0.0,0.0,0.16692,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,2.8,3.0,0.0,83.0,10.8,0.0,5.0,93.0,247.0,398.0,544.0,5,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 06:00:00,0.0,0.0,0.1645,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,2.6,3.0,0.0,85.0,10.8,5.0,93.0,247.0,398.0,544.0,648.0,6,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 07:00:00,0.0,0.0,0.13,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,1.2,1.0,5.0,85.0,10.6,93.0,247.0,398.0,544.0,648.0,670.0,7,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 08:00:00,0.0,0.0,0.126,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,4.2,2.0,93.0,81.0,11.4,247.0,398.0,544.0,648.0,670.0,668.0,8,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 09:00:00,0.0,0.0,0.09933,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,7.7,36.0,247.0,71.0,11.3,398.0,544.0,648.0,670.0,668.0,570.0,9,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 10:00:00,100.0,0.0,0.06962,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,10.5,83.0,398.0,63.0,12.0,544.0,648.0,670.0,668.0,570.0,503.0,10,2,105,15,51.349998,8.28333,Germany,Hessen,0.006962
2026-04-15 11:00:00,0.0,0.0,0.05005,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,12.5,88.0,544.0,52.0,11.7,648.0,670.0,668.0,570.0,503.0,324.0,11,2,105,15,51.349998,8.28333,Germany,Hessen,0.0
2026-04-15 12:00:00,100.0,0.0,0.04899,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,13.7,99.0,648.0,45.0,6.2,670.0,668.0,570.0,503.0,324.0,235.0,12,2,105,15,51.349998,8.28333,Germany,Hessen,0.004899000000000001
2026-04-15 13:00:00,100.0,100.0,0.06553,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,14.2,99.0,670.0,41.0,6.7,668.0,570.0,503.0,324.0,235.0,119.0,13,2,105,15,51.349998,8.28333,Germany,Hessen,0.006553000000000001
2026-04-15 14:00:00,100.0,100.0,0.08477,0.10941,0.12712,0.15813,0.20451,0.1701,0.14294,0.13173,0.11251,0.10462,0.09969,0.09678,0.09672,0.09981,0.12481,0.15073,0.15999,0.1245,0.12093,0.09673,0.08098,0.05721,0.03672,0.05279,0.06499,14.9,95.0,668.0,39.0,7.6,570.0,503.0,324.0,235.0,119.0,39.0,14,2,105,15,51.349998,8.28333,Germany,Hessen,0.008477
